Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
TSA;;16LMT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
TSA;;15LMT;;;Blanco;-;-;-;-;-;++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;14LMT;;;Blanco;-;-;-;-;-;+;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
lb/3;;13 LML;;;Blanco;-;-;-;-;-;++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
TSA;;12LMT;;;Blanco;+;-;+;-;-;+;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;11LMT;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
TSA;;10LMT;;;Blanco;+;-;-;-;+;+;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
lb/3;;10 LML;;;Blanco;-;-;-;-;-;+;+;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
lb/3;;1 LML;;;Blanco;+++;-;-;-;-;+++;-;++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Cocos;;Lago maravilloso;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
